id,Prioridad,Cantidad,Ventas,Descuento,Modo_envio,Margen,Utilidad,Precio_venta,Precio_costo,Costo_envio,Nombre_cliente,Region,Segmento,Categoria,Subcategoria,Producto,Empaque,fecha_envio
18,Baja,4,"37,46","0,090",Aereo regular,"0,37","11,5356","10,29","6,48","8,19",Pauline Chand,Argentina,Corporativo,Elementos de oficina,Papel,Xerox 217,Caja pequena,27/11/2020
19,Alta,3,"878,14","0,050",Aereo expreso,"0,51","425,202","308,12","150,98","13,99",Roy Collins,Paraguay,Corporativo,Tecnologia,Maquinas de oficina,Canon MP41DH Printing Calculator,Caja mediana,9/05/2020
20,Alta,29,"883,86","0,020",Aereo regular,"0,39","333,732","31,10","18,97","9,03",Roy Collins,Paraguay,Corporativo,Elementos de oficina,Papel,Computer Printout Paper with Letter-Trim Perforations,Caja pequena,8/05/2020
21,Alta,23,"326,44","0,050",Aereo regular,"0,35","103,109","14,94","9,71","9,45",Roy Collins,Paraguay,Corporativo,Elementos de oficina,Organizadores,Filing/Storage Totes and Swivel Casters,Caja pequena,10/05/2020
22,Normal,30,"6.549,02","0,050",Terrestre,"0,43","2619,615","229,79","130,98","54,74",Emily Phan,Colombia,Consumidor,Muebles,Librerias,"O'Sullivan Elevations Bookcase, Cherry Finish",Caja grande,13/06/2018
23,Normal,27,"465,13","0,030",Aereo regular,"0,55","249,4044","17,76","7,99","5,03",Emily Phan,Chile,Consumidor,Tecnologia,Telefonos,Bell Sonecor JB700 Caller ID,Caja mediana,11/06/2018
24,Regular,11,"1.659,31","0,010",Aereo regular,"0,37","603,4193","152,37","95,99","35,00",Michael Dominguez,Argentina,Oficina en casa,Elementos de oficina,Organizadores,Safco Industrial Wire Shelving,Caja larga,2/05/2020
25,Regular,25,"188,83","0,090",Aereo regular,"0,40","64,325","8,30","4,98","4,62",Anne Pryor,Chile,Consumidor,Tecnologia,Perifericos,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Paquete pequeno,22/10/2019
26,Alta,10,"1.010,48","0,020",Aereo expreso,"0,36","350,578","103,11","65,99","8,99",Valerie Takahito,Paraguay,Consumidor,Tecnologia,Telefonos,i270,Caja pequena,13/09/2019
27,Critica,14,"272,81","0,060",Aereo regular,"0,40","98,6468","20,73","12,44","6,27",Justin Hirsh,Chile,Consumidor,Elementos de oficina,Organizadores,Eldon Simplefile Box Office,Caja mediana,9/08/2018
28,Normal,49,"573,30","0,100",Aereo regular,"0,44","216,58","13,00","7,28","7,98",Maria Zettner,Bolivia,Corporativo,Muebles,Mobiliario,"Master Caster Door Stop, Large Neon Orange",Bolsa,6/04/2020
29,Normal,6,"29,66","0,040",Aereo regular,"0,39","10,824","5,15","3,14","1,92",Maria Zettner,Bolivia,Corporativo,Elementos de oficina,Tijeras,Serrated Blade or Curved Handle Hand Letter Openers,Bolsa,6/04/2020
30,Normal,34,"2.678,64","0,030",Aereo regular,"0,55","1435,9356","81,22","36,55","13,89",Brad Thomas,Peru,Oficina en casa,Elementos de oficina,Boligrafos,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Bolsa,29/12/2018
31,Alta,23,"642,57","0,010",Aereo regular,"0,54","344,0294","28,22","12,98","3,14",Penelope Sewall,Paraguay,Oficina en casa,Elementos de oficina,Tijeras,"Acme 8"" Straight Scissors",Paquete pequeno,8/04/2019
32,Regular,25,"357,18","0,090",Aereo regular,"0,53","172,675","15,70","7,38","5,21",Bart Folk,Peru,Corporativo,Muebles,Mobiliario,"Eldon Expressions Wood Desk Accessories, Oak",Caja pequena,18/06/2017
33,Regular,44,"407,62","0,040",Aereo regular,"0,38","144,496","9,65","5,98","5,15",Bart Folk,Peru,Corporativo,Elementos de oficina,Papel,Xerox 193,Caja pequena,18/06/2017
34,Regular,33,"921,57","0,040",Aereo regular,"0,47","412,7112","29,09","15,42","10,68",Bart Folk,Peru,Corporativo,Elementos de oficina,Organizadores,"Decoflex Hanging Personal Folder File, Blue",Caja pequena,18/06/2017
35,Critica,24,"279,74","0,060",Aereo regular,"0,55","145,824","12,40","5,58","0,70",Karen Ferguson,Chile,Oficina en casa,Elementos de oficina,Boligrafos,Newell 314,Bolsa,25/05/2019
36,Critica,1,"35,56","0,050",Aereo regular,"0,47","15,7185","37,43","19,84","4,10",Karen Ferguson,Chile,Oficina en casa,Elementos de oficina,Boligrafos,Prismacolor Color Pencil Set,Bolsa,26/05/2019
37,Critica,43,"806,35","0,110",Aereo regular,"0,40","262,8289","21,07","12,64","4,98",Matt Abelman,Colombia,Consumidor,Muebles,Mobiliario,Nu-Dell Executive Frame,Paquete pequeno,30/12/2018
38,Critica,24,"1.274,08","0,020",Aereo regular,"0,54","675,9984","54,17","24,92","12,98",Peter Fuller,Paraguay,Consumidor,Elementos de oficina,Carpetas,GBC Standard Therm-A-Bind Covers,Caja pequena,29/12/2018
39,Critica,47,"3.666,06","0,060",Aereo regular,"0,47","1598,9964","82,98","43,98","8,99",Erin Creighton,Argentina,Corporativo,Elementos de oficina,Boligrafos,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Paquete pequeno,28/10/2018
40,Critica,11,"2.605,47","0,060",Aereo regular,"0,50","1219,5832","251,98","125,99","8,08",Erin Creighton,Argentina,Corporativo,Tecnologia,Telefonos,StarTAC ST7762,Caja pequena,28/10/2018
41,Alta,2,"1.453,00","0,060",Aereo regular,"0,53","726,4956","772,87","363,25","19,99",Sean Braxton,Paraguay,Negocio,Elementos de oficina,Accesorios,Hoover WindTunnel Plus Canister Vacuum,Caja pequena,30/09/2017
42,Critica,21,"223,02","0,000",Aereo regular,"0,39","86,94","10,62","6,48","8,74",Liz Willingham,Colombia,Oficina en casa,Elementos de oficina,Papel,Xerox 1984,Caja pequena,30/12/2018
43,Critica,7,"257,67","0,000",Terrestre,"0,43","110,81","36,81","20,98","53,03",Liz Willingham,Colombia,Oficina en casa,Elementos de oficina,Organizadores,"Tennsco Lockers, Gray",Caja redonda,29/12/2018
44,Critica,33,"431,74","0,020",Aereo regular,"0,51","215,919","13,35","6,54","5,27",Liz Willingham,Chile,Oficina en casa,Elementos de oficina,Carpetas,Wilson Jones Four-Pocket Poly Binders,Caja pequena,30/12/2018
45,Normal,47,"12.722,94","0,040",Aereo regular,"0,50","6096,4076","281,98","140,99","4,20",Sonia Sunley,Bolivia,Negocio,Tecnologia,Telefonos,Polyproplyene Holder,Caja pequena,29/06/2018
46,Alta,25,"198,15","0,090",Aereo regular,"0,38","63,1525","8,71","5,40","7,78",Paul Lucas,Peru,Corporativo,Elementos de oficina,Carpetas,3M Organizer Strips,Caja pequena,17/05/2017
47,Regular,24,"316,69","0,050",Aereo regular,"0,45","133,332","13,89","7,64","5,83",Dorris Love,Chile,Oficina en casa,Elementos de oficina,Papel,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Bolsa,6/01/2017
48,Alta,43,"699,42","0,080",Aereo regular,"0,44","273,7208","17,68","9,90","1,39",Valerie Takahito,Paraguay,Consumidor,Elementos de oficina,Sobres,#6 3/4 Gummed Flap White Envelopes,Caja pequena,13/01/2020
49,Alta,49,"14.821,64","0,070",Terrestre,"0,36","4621,8025","325,25","208,16","68,02",Barry French,Ecuador,Consumidor,Elementos de oficina,Accesorios,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Caja redonda,2/10/2020
50,Alta,27,"357,38","0,010",Aereo regular,"0,35","122,7501","13,37","8,69","2,99",Barry French,Ecuador,Consumidor,Elementos de oficina,Carpetas,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",Caja pequena,3/10/2020
51,Normal,35,"9.777,22","0,060",Aereo regular,"0,35","3016,272","297,18","193,17","19,99",Sanjit Chand,Bolivia,Oficina en casa,Elementos de oficina,Organizadores,Fellowes Staxonsteel Drawer Files,Caja pequena,16/07/2018
52,Critica,20,"6.239,62","0,080",Aereo regular,"0,54","3119,824","339,11","155,99","8,08",Giulietta Weimer,Bolivia,Corporativo,Tecnologia,Telefonos,I888 World Phone,Caja pequena,20/03/2020
53,Critica,46,"447,12","0,100",Aereo regular,"0,40","149,04","10,80","6,48","10,05",Giulietta Weimer,Bolivia,Corporativo,Elementos de oficina,Papel,Xerox 1997,Caja pequena,20/03/2020
54,Critica,20,"211,30","0,070",Aereo regular,"0,50","97,696","11,36","5,68","1,39",Dario Medina,Peru,Negocio,Elementos de oficina,Sobres,Staples Standard Envelopes,Caja pequena,27/03/2017
55,Critica,2,"67,10","0,060",Aereo regular,"0,36","21,4172","35,69","22,84","11,54",Dario Medina,Peru,Negocio,Elementos de oficina,Papel,Xerox 1964,Caja pequena,27/03/2017
56,Critica,25,"8.819,51","0,020",Aereo regular,"0,50","4319,76","359,98","179,99","13,99",Frank Gastineau,Paraguay,Negocio,Tecnologia,Telefonos,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Caja mediana,21/03/2020
57,Baja,9,"1.851,47","0,060",Aereo regular,"0,47","807,561","218,85","115,99","4,23",Craig Yedwab,Colombia,Corporativo,Tecnologia,Telefonos,Polyproplyene Holder,Caja pequena,20/10/2018
58,Alta,34,"346,62","0,030",Aereo regular,"0,43","142,9598","10,51","5,99","4,92",Michelle Tran,Chile,Consumidor,Elementos de oficina,Carpetas,"DXL Angle-View Binders with Locking Rings, Black",Caja pequena,4/06/2019
59,Alta,17,"153,75","0,050",Aereo regular,"0,39","54,978","9,52","5,81","3,37",Michelle Tran,Chile,Consumidor,Elementos de oficina,Ligas,"Advantus Push Pins, Aluminum Head",Bolsa,4/06/2019
60,Baja,21,"82,73","0,020",Aereo regular,"0,45","36,3216","4,02","2,21","1,00",Dean Percer,Peru,Oficina en casa,Elementos de oficina,Boligrafos,"Quartet Alpha White Chalk, 12/Pack",Bolsa,1/04/2019
61,Baja,16,"2.413,76","0,000",Aereo regular,"0,43","1037,92","150,86","85,99","0,99",Henry MacAllister,Argentina,Negocio,Tecnologia,Telefonos,Accessory4,Bolsa,18/06/2017
62,Alta,33,"2.964,28","0,020",Terrestre,"0,47","1361,1444","91,66","48,58","54,11",Ricardo Block,Bolivia,Corporativo,Muebles,Librerias,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Caja grande,21/09/2018
63,Alta,33,"2.125,59","0,070",Aereo regular,"0,43","822,7494","69,26","39,48","1,99",Ricardo Block,Bolivia,Corporativo,Tecnologia,Perifericos,"80 Minute CD-R Spindle, 100/Pack - Staples",Paquete pequeno,19/09/2018
64,Normal,30,"6.362,90","0,080",Terrestre,"0,46","2628,204","230,54","124,49","51,94",Cari Sayre,Bolivia,Corporativo,Muebles,Mesas,Bevis 36 x 72 Conference Tables,Caja grande,19/12/2017
65,Baja,50,"15.903,44","0,020",Terrestre,"0,55","8600,94","324,56","146,05","80,20",Sonia Cooley,Bolivia,Corporativo,Muebles,Mesas,BPI Conference Tables,Caja grande,9/03/2020
66,Alta,4,"27,83","0,020",Aereo regular,"0,48","13,072","7,10","3,69","0,50",Tracy Poddar,Argentina,Corporativo,Elementos de oficina,Etiquetas,Avery 501,Caja pequena,26/01/2019
67,Alta,4,"24,57","0,090",Aereo regular,"0,43","9,17","6,75","3,85","0,70",Tracy Poddar,Argentina,Corporativo,Elementos de oficina,Boligrafos,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Bolsa,26/01/2019
68,Regular,46,"1.099,59","0,060",Aereo regular,"0,54","561,3932","25,43","11,70","6,96",Jennifer Halladay,Argentina,Oficina en casa,Elementos de oficina,Accesorios,Harmony HEPA Quiet Air Purifiers,Caja mediana,18/12/2020
69,Baja,20,"2.419,56","0,010",Aereo expreso,"0,46","1099,76","122,20","65,99","7,69",Stuart Calhoun,Argentina,Consumidor,Tecnologia,Telefonos,Polyproplyene Holder,Caja pequena,1/10/2018
70,Normal,39,"37.855,36","0,070",Terrestre,"0,52","18317,1417","1.043,71","500,98","28,14",Robert Barroso,Peru,Negocio,Tecnologia,Maquinas de oficina,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Caja redonda,6/02/2017
71,Normal,3,"845,40","0,100",Aereo regular,"0,43","309,987","313,11","178,47","19,99",Robert Barroso,Peru,Negocio,Elementos de oficina,Organizadores,"Hot File 7-Pocket, Floor Stand",Caja pequena,7/02/2017
72,Regular,8,"56,64","0,090",Aereo regular,"0,36","16,7984","7,78","4,98","4,86",Tony Sayre,Bolivia,Negocio,Elementos de oficina,Papel,Xerox 190,Caja pequena,30/10/2019
73,Regular,6,"67,28","0,030",Aereo regular,"0,50","32,5992","11,56","5,78","5,37",Tony Sayre,Bolivia,Negocio,Elementos de oficina,Papel,Xerox 1950,Caja pequena,1/11/2019
74,Normal,22,"2.446,44","0,090",Aereo regular,"0,46","994,664","122,20","65,99","19,99",Brad Thomas,Peru,Corporativo,Tecnologia,Telefonos,iDENi80s,Caja pequena,22/08/2019
75,Alta,45,"625,78","0,020",Aereo regular,"0,48","293,679","14,19","7,38","5,21",Candace McMahon,Argentina,Corporativo,Muebles,Mobiliario,"Eldon Expressions Wood Desk Accessories, Oak",Caja pequena,21/07/2019
76,Regular,29,"1.701,21","0,050",Aereo expreso,"0,44","698,3925","61,75","34,58","8,99",Matt Collins,Bolivia,Consumidor,Elementos de oficina,Boligrafos,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Paquete pequeno,5/03/2019
77,Regular,35,"1.110,55","0,050",Aereo regular,"0,53","561,05","33,40","15,70","11,25",Matt Collins,Bolivia,Consumidor,Elementos de oficina,Organizadores,Hanging Personal Folder File,Caja pequena,6/03/2019
78,Baja,42,"415,07","0,090",Aereo regular,"0,44","159,7092","10,86","6,08","1,82",Darrin Martin,Argentina,Negocio,Elementos de oficina,Ligas,Staples Bulk Pack Metal Binder Clips,Bolsa,28/12/2019
79,Alta,44,"8.019,83","0,010",Aereo regular,"0,37","2916,2716","184,11","115,99","5,26",Art Foster,Bolivia,Oficina en casa,Tecnologia,Telefonos,Polyproplyene Holder,Caja pequena,9/10/2020
80,Alta,30,"9.489,98","0,080",Aereo regular,"0,43","3610,284","343,84","195,99","3,99",Clay Rozendal,Ecuador,Corporativo,Tecnologia,Telefonos,R380,Caja pequena,12/07/2019
81,Critica,19,"384,85","0,070",Aereo regular,"0,50","177,9426","21,78","10,89","4,50",Valerie Dominguez,Paraguay,Corporativo,Elementos de oficina,Accesorios,Belkin 6 Outlet Metallic Surge Strip,Caja pequena,18/08/2020
82,Baja,6,"1.983,81","0,060",Aereo regular,"0,38","675,3336","351,74","218,08","18,06",Sam Craven,Paraguay,Oficina en casa,Muebles,Tapetes,"Lifetime Advantage Folding Chairs, 4/Carton",Caja larga,19/05/2019
83,Baja,48,"1.526,82","0,010",Aereo expreso,"0,52","786,6576","32,13","15,42","10,68",Sam Craven,Paraguay,Oficina en casa,Elementos de oficina,Organizadores,"Decoflex Hanging Personal Folder File, Blue",Caja pequena,21/05/2019
84,Alta,33,"9.053,55","0,000",Terrestre,"0,45","4074,18","274,35","150,89","60,20",Arthur Prichep,Argentina,Oficina en casa,Muebles,Tapetes,"Global Leather & Oak Executive Chair, Burgundy",Caja redonda,30/04/2019
85,Regular,19,"761,43","0,080",Aereo regular,"0,50","347,6088","43,56","21,78","5,94",Carlos Soltero,Ecuador,Consumidor,Elementos de oficina,Accesorios,Holmes HEPA Air Purifier,Caja mediana,30/08/2018
86,Regular,21,"245,39","0,050",Aereo regular,"0,46","105,945","12,30","6,64","4,95",Carlos Soltero,Ecuador,Consumidor,Muebles,Mobiliario,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Paquete pequeno,30/08/2018
87,Critica,41,"224,35","0,040",Aereo regular,"0,46","98,072","5,70","3,08","0,99",Sung Chung,Paraguay,Oficina en casa,Elementos de oficina,Etiquetas,Avery 481,Caja pequena,21/09/2017
88,Critica,29,"391,91","0,020",Aereo regular,"0,53","203,9918","13,79","6,48","5,90",Sung Chung,Paraguay,Oficina en casa,Elementos de oficina,Papel,Xerox 1976,Caja pequena,21/09/2017
89,Critica,26,"5.329,96","0,040",Aereo regular,"0,41","2054,2184","213,54","125,99","4,20",Sung Chung,Paraguay,Oficina en casa,Tecnologia,Telefonos,V3682,Caja pequena,22/09/2017
90,Critica,13,"99,62","0,030",Aereo regular,"0,37","34,879","7,90","4,98","7,44",Ken Brennan,Argentina,Consumidor,Elementos de oficina,Papel,Xerox 1922,Caja pequena,13/07/2020
91,Critica,5,"53,06","0,050",Aereo regular,"0,42","20,6575","11,17","6,48","8,74",Ken Brennan,Argentina,Consumidor,Elementos de oficina,Papel,Xerox 1984,Caja pequena,13/07/2020
92,Critica,30,"2.093,90","0,050",Aereo expreso,"0,47","925,695","73,47","38,94","35,00",Ken Brennan,Argentina,Consumidor,Elementos de oficina,Organizadores,"Eldon Base for stackable storage shelf, platinum",Caja larga,12/07/2020
93,Critica,38,"414,48","0,020",Aereo expreso,"0,40","160,6412","11,13","6,68","5,41",Joe Elijah,Paraguay,Oficina en casa,Elementos de oficina,Papel,Xerox 195,Caja pequena,3/08/2019
94,Critica,47,"1.228,62","0,040",Aereo regular,"0,35","396,7176","27,23","17,70","9,47",Arthur Prichep,Argentina,Oficina en casa,Elementos de oficina,Organizadores,Portfile Personal File Boxes,Caja pequena,28/01/2018
95,Normal,50,"456,75","0,100",Aereo regular,"0,48","192,75","10,15","5,28","6,26",Sheri Gordon,Paraguay,Corporativo,Elementos de oficina,Papel,Xerox 1928,Caja pequena,22/10/2020
96,Normal,43,"4.928,33","0,010",Aereo regular,"0,43","2090,7589","115,77","65,99","2,50",Sheri Gordon,Paraguay,Corporativo,Tecnologia,Telefonos,Polyproplyene Holder,Caja pequena,22/10/2020
97,Alta,12,"149,11","0,030",Aereo regular,"0,43","61,5084","12,81","7,30","7,72",Carl Jackson,Ecuador,Corporativo,Elementos de oficina,Carpetas,"Angle-D Binders with Locking Rings, Label Holders",Caja pequena,17/06/2019
98,Alta,22,"1.528,73","0,090",Aereo regular,"0,44","588,0072","76,36","42,76","6,22",Carl Jackson,Ecuador,Corporativo,Elementos de oficina,Organizadores,"SAFCO Mobile Desk Side File, Wire Frame",Caja pequena,18/06/2019
99,Alta,41,"933,16","0,000",Aereo regular,"0,37","345,22","22,76","14,34","5,00",Dave Hallsten,Chile,Corporativo,Muebles,Mobiliario,Nu-Dell Leatherette Frames,Paquete pequeno,2/12/2020
100,Alta,24,"5.161,50","0,070",Terrestre,"0,40","1831,5","231,25","138,75","52,42",Dave Hallsten,Chile,Corporativo,Muebles,Mesas,Balt Split Level Computer Training Table,Caja grande,1/12/2020
101,Alta,39,"7.837,01","0,020",Terrestre,"0,41","3118,791","205,05","120,98","58,64",Tamara Chand,Argentina,Consumidor,Muebles,Librerias,O'Sullivan Living Dimensions 2-Shelf Bookcases,Caja grande,23/01/2018
102,Alta,24,"790,73","0,010",Aereo regular,"0,43","335,4528","33,28","18,97","9,54",Tamara Chand,Argentina,Consumidor,Elementos de oficina,Papel,Xerox 1939,Caja pequena,23/01/2018
103,Alta,21,"5.395,75","0,070",Aereo expreso,"0,50","2494,8084","276,28","138,14","35,00",Monica Federle,Ecuador,Corporativo,Elementos de oficina,Organizadores,"SAFCO Commercial Wire Shelving, Black",Caja larga,25/03/2019
104,Critica,5,"3.177,70","0,010",Terrestre,"0,50","1572,802","641,96","320,98","58,95",Bill Eplett,Chile,Corporativo,Muebles,Tapetes,Hon 4070 Series Pagoda Round Back Stacking Chairs,Caja redonda,1/05/2020
105,Alta,42,"1.033,41","0,050",Aereo regular,"0,50","489,51","25,90","12,95","4,98",Harold Engle,Colombia,Consumidor,Elementos de oficina,Carpetas,GBC Binding covers,Caja pequena,4/12/2017
106,Alta,18,"313,10","0,010",Aereo regular,"0,47","145,5174","17,57","9,31","3,98",Duane Huffman,Argentina,Negocio,Elementos de oficina,Tijeras,Acme Forged Steel Scissors with Black Enamel Handles,Paquete pequeno,22/11/2017
107,Baja,44,"345,36","0,070",Aereo regular,"0,41","126,2448","8,44","4,98","8,33",Dorothy Badders,Ecuador,Oficina en casa,Elementos de oficina,Papel,Xerox 198,Caja pequena,26/02/2018
108,Critica,42,"111,32","0,050",Aereo regular,"0,37","37,401","2,79","1,76","0,70",Sarah Jordon,Colombia,Consumidor,Elementos de oficina,Boligrafos,Newell 326,Bolsa,10/09/2019
109,Baja,42,"330,98","0,010",Aereo regular,"0,55","180,6168","7,96","3,58","5,47",Susan MacKendrick,Paraguay,Corporativo,Elementos de oficina,Carpetas,Avery Poly Binder Pockets,Caja pequena,5/01/2018
110,Baja,11,"844,14","0,090",Aereo regular,"0,51","389,6233","84,33","41,32","8,66",Susan MacKendrick,Paraguay,Corporativo,Muebles,Mobiliario,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Caja mediana,3/01/2018
111,Baja,29,"7.381,53","0,020",Terrestre,"0,44","3163,4766","259,73","145,45","17,85",Susan MacKendrick,Paraguay,Corporativo,Tecnologia,Maquinas de oficina,Panasonic KX-P1150 Dot Matrix Printer,Caja redonda,5/01/2018
112,Regular,7,"938,25","0,040",Aereo regular,"0,42","371,3864","139,62","80,98","4,50",Caroline Jumper,Chile,Corporativo,Elementos de oficina,Accesorios,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Caja pequena,3/03/2018
113,Regular,31,"410,69","0,080",Aereo regular,"0,55","209,808","14,40","6,48","5,14",Caroline Jumper,Chile,Corporativo,Elementos de oficina,Papel,Xerox 23,Caja pequena,2/03/2018
114,Normal,6,"59,13","0,090",Aereo regular,"0,54","29,2518","10,83","4,98","0,49",Thomas Boland,Argentina,Corporativo,Elementos de oficina,Etiquetas,Avery White Multi-Purpose Labels,Caja pequena,15/07/2019
115,Normal,37,"7.646,87","0,020",Terrestre,"0,45","3355,2414","210,89","115,99","56,14",Roy French,Colombia,Consumidor,Tecnologia,Maquinas de oficina,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Caja redonda,2/06/2018
116,Critica,18,"142,25","0,080",Aereo regular,"0,42","52,6104","8,59","4,98","4,72",Darrin Van Huff,Paraguay,Oficina en casa,Elementos de oficina,Papel,Xerox 1949,Caja pequena,17/06/2019
117,Alta,35,"1.007,54","0,080",Aereo regular,"0,44","394,338","31,29","17,52","8,17",Pamela Stobb,Chile,Consumidor,Elementos de oficina,Accesorios,Bionaire 99.97% HEPA Air Cleaner,Caja mediana,18/04/2018
118,Alta,25,"348,08","0,100",Aereo regular,"0,36","100,575","15,47","9,90","1,39",Pamela Stobb,Chile,Consumidor,Elementos de oficina,Sobres,#6 3/4 Gummed Flap White Envelopes,Caja pequena,18/04/2018
119,Normal,38,"4.135,30","0,060",Aereo regular,"0,43","1627,6844","115,77","65,99","8,99",Helen Abelman,Colombia,Oficina en casa,Tecnologia,Telefonos,Talkabout T8367,Caja pequena,26/09/2018
120,Critica,17,"119,22","0,030",Aereo regular,"0,38","43,0627","7,23","4,48","49,00",Sibella Parks,Bolivia,Negocio,Elementos de oficina,Accesorios,Hoover Portapower Portable Vacuum,Caja larga,5/12/2019
121,Critica,35,"88,20","0,100",Aereo regular,"0,55","44,1","2,80","1,26","0,70",Peter McVee,Colombia,Negocio,Elementos de oficina,Ligas,Bagged Rubber Bands,Bolsa,18/03/2019
122,Critica,8,"57,89","0,100",Aereo regular,"0,47","23,808","8,04","4,26","1,20",Peter McVee,Colombia,Negocio,Elementos de oficina,Boligrafos,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Bolsa,19/03/2019
123,Critica,20,"84,39","0,030",Aereo regular,"0,37","29,59","4,35","2,74","3,50",Thais Sissman,Paraguay,Corporativo,Elementos de oficina,Boligrafos,Rogers Handheld Barrel Pencil Sharpener,Paquete pequeno,20/02/2020
